College Name,College City,State,Approvals,Rating,Major Stream Rating,Logo,Cover,Fees,Ranking Data,Default Ranking Data,Exam,Facilities,Fee Range,Type Of College,Program Type,Duration
Avlon Academy,Dehradun,Uttarakhand,[],4.539510638938496,1.0889232287746125,https://images.collegedunia.com/public/college_data/images/logos/1601715622olxebv.5e78547d8feeb.jpg,https://images.collegedunia.com/public/college_data/images/appImage/16017155537978626227863042047231421073113904076292096o.jpg,96000,[],[],,"['Classrooms', 'Security', 'Library', 'Hostel']",2,Government,Full Time,3
Purnea University,Purnea,Bihar,['UGC'],4.539510638938496,1.0892184099155109,https://images.collegedunia.com/public/college_data/images/logos/1600408175PurneaUniversitylogo.png,https://images.collegedunia.com/public/college_data/images/appImage/1600408175PurneaUniversityAdmission.jpg,0,[],[],,[],0,Private,Part Time,3
Spicer Adventist University - [SAU],Pune,Maharashtra,[],4.539510638938496,1.0895136710729834,https://images.collegedunia.com/public/college_data/images/logos/16005091401600503223Logo.png,https://images.collegedunia.com/public/college_data/images/appImage/1600511811Imageee.jpg,45315,[],[],,"['Library', 'Sports', 'Medical', 'Cafeteria', 'Gym', 'Wi-FI Campus']",1,Private,Full Time,3
Mandya University,Mandya,Karnataka,['UGC'],4.539510638938496,1.08980901226872,https://images.collegedunia.com/public/college_data/images/logos/1600507238MandyaLogo.png,https://images.collegedunia.com/public/college_data/images/appImage/1600507238Screenshot20200919143227.jpg,5830,[],[],,"['Library', 'Security', 'Classrooms', 'Hostel', 'Cafeteria']",0,Private,Full Time,3
Bhagwan Mahavir University - [BMU],Surat,Gujarat,"['COA', 'PCI', 'AICTE', 'UGC']",4.539510638938496,1.090104433524418,https://images.collegedunia.com/public/college_data/images/logos/160058493373364353110580587028474842864066002157568o.jpg,https://images.collegedunia.com/public/college_data/images/appImage/160057955579000021132600064826526103121103920037888o.jpg,45000,[],[],,"['Medical', 'Cafeteria', 'Auditorium', 'Sports', 'Library', 'Classrooms', 'Security']",1,Private,Full Time,3
Nibha Institute of Pharmaceutical Sciences - [NIPS],Nalanda,Bihar,"['PCI', 'AICTE']",4.539510638938496,1.0903999348617786,https://images.collegedunia.com/public/college_data/images/logos/1601277402logo.png,https://images.collegedunia.com/public/college_data/images/appImage/1601277402613931836684837668990361876821616529244160o.jpg,100000,[],[],,"['Library', 'Laboratory', 'Classrooms', 'Security']",3,Private,Full Time,3
DY Patil University,Pune,Maharashtra,"['COA', 'PCI', 'AICTE', 'UGC']",4.539510638938496,1.090695516302511,https://images.collegedunia.com/public/college_data/images/logos/162529782516252976671625221378IMG20210701WA0000.jpg,https://images.collegedunia.com/public/college_data/images/appImage/1617946001campus9.jpg,90000,[],[],,"['Library', 'Wi-FI Campus', 'Hostel', 'Laboratory', 'Sports', 'Cafeteria', 'Transport', 'Auditorium']",2,Private,Full Time,3
London College,Kochi,Kerala,[],4.539510638938496,1.090991177868329,https://images.collegedunia.com/public/college_data/images/logos/1615546105Screenshot20210312161745.png,https://images.collegedunia.com/public/college_data/images/appImage/16027527495f030731efca2400019a6fcb.png,80000,[],[],,"['Classrooms', 'Medical', 'Security', 'Comp Labs', 'Sports']",2,Private,Full Time,3
Atria University,Bangalore,Karnataka,[],4.539510638938496,1.0912869195809527,https://images.collegedunia.com/public/college_data/images/logos/16106229131602824159713928271350560711975853735981953875181568n.jpg,https://images.collegedunia.com/public/college_data/images/appImage/1610622913AUCampusPhase11.jpg,775000,[],[],,"['Library', 'Laboratory', 'Comp Labs', 'Classrooms', 'Cafeteria', 'Security']",4,Private,Full Time,3
IDRAC Business School,Pune,Maharashtra,['AACSB'],4.539510638938496,1.0915827414621078,https://images.collegedunia.com/public/college_data/images/logos/163843353212050538627666269036642451078576397706148497n.jpg,https://images.collegedunia.com/public/college_data/images/appImage/1618894188Screenshot20210420101658.png,441636,[],[],,"['Comp Labs', 'Cafeteria', 'Classrooms', 'Library', 'Medical', 'Security']",4,Private,Full Time,3
