College Name,College City,State,Approvals,Rating,Major Stream Rating,Logo,Cover,Fees,Ranking Data,Default Ranking Data,Exam,Facilities,Fee Range,Type Of College,Program Type,Duration
"Sharda University, School of Law - [SOL]",Greater Noida,Uttar Pradesh,['BCI'],7.02563037362892,0.951844415827077,https://images.collegedunia.com/public/college_data/images/logos/1496464164Shardalogo.jpg,https://images.collegedunia.com/public/college_data/images/appImage/1496464164Sharda800x414.jpg,166860,"[{'year': '2022', 'agencyId': '17', 'rankingOfCollege': '34', 'rankingOutOfTotalNoOfCollege': '61', 'agency': 'Indiatoday'}, {'year': '2021', 'agencyId': '28', 'rankingOfCollege': '22', 'rankingOutOfTotalNoOfCollege': '33', 'agency': 'Outlook'}]","[{'year': '2022', 'agencyId': '17', 'rankingOfCollege': '34', 'rankingOutOfTotalNoOfCollege': '61', 'agency': 'Indiatoday'}, {'year': '2021', 'agencyId': '28', 'rankingOfCollege': '22', 'rankingOutOfTotalNoOfCollege': '33', 'agency': 'Outlook'}]",suat,"['Comp Labs', 'Sports', 'Medical', 'Cafeteria', 'Laboratory', 'Library', 'Auditorium', 'Hostel', 'Classrooms', 'Security', 'Transport', 'Communication Centre', 'Wi-FI Campus']",3,Private,Full Time,3
"School of Law, SRM IST",Kanchipuram,Tamil Nadu,['BCI'],7.02563037362892,0.952815685639145,https://images.collegedunia.com/public/college_data/images/logos/15807285381569304335phpHattQO.png,https://images.collegedunia.com/public/college_data/images/appImage/_1467267486srm coverq1.jpg,200000,[],[],,"['Library', 'Comp Labs', 'Cafeteria', 'Medical', 'Auditorium', 'Hostel', 'Security', 'Classrooms', 'Sports']",4,Private,Full Time,3
Bharath Institute of Law,Chennai,Tamil Nadu,['BCI'],7.02563037362892,0.953787946542859,https://images.collegedunia.com/public/college_data/images/logos/1475127175logo.png,https://images.collegedunia.com/public/college_data/images/appImage/57171_cvr img.png,150000,[],[],,"['Medical', 'Sports', 'Comp Labs', 'Library', 'Transport', 'Communication Centre', 'Hostel', 'Laboratory', 'Auditorium', 'Cafeteria']",3,Private,Full Time,3
VGU School of Law,Jaipur,Rajasthan,['BCI'],7.02563037362892,0.954761199549535,https://images.collegedunia.com/public/college_data/images/logos/158618427915539502131.PNG.png,https://images.collegedunia.com/public/college_data/images/appImage/_image-1_78.jpg,105000,[],[],clat,"['Hostel', 'Auditorium', 'Cafeteria', 'Medical', 'Comp Labs', 'Laboratory', 'Library', 'Classrooms', 'Transport', 'Security', 'Sports', 'Gym', 'Wi-FI Campus']",3,Private,Full Time,3
"G D Goenka University, School of  Law - [SOL]",Gurgaon,Haryana,['BCI'],7.02563037362892,0.955735445671524,https://images.collegedunia.com/public/college_data/images/logos/15967040901596082223Logo.png,https://images.collegedunia.com/public/college_data/images/appImage/1490349092AppNew.jpg,255000,[],[],,"['Medical', 'Hostel', 'Gym', 'Sports', 'Library', 'Laboratory', 'Cafeteria', 'Auditorium', 'Comp Labs', 'Classrooms', 'Transport']",4,Private,Full Time,3
"Sangam University, School of Legal Studies",Bhilwara,Rajasthan,"['AICTE', 'UGC', 'NBA']",7.02563037362891,0.95671068592221,https://images.collegedunia.com/public/college_data/images/logos/1475154353logo.jpg,https://images.collegedunia.com/public/college_data/images/appImage/57187_1475126417app image.jpg,75500,[],[],,[],2,Private,Full Time,3
"Sushant University, School of Law - [SOL]",Gurgaon,Haryana,['BCI'],7.02563037362892,0.957686921316008,https://images.collegedunia.com/public/college_data/images/logos/15987865341598521446Logo.png,https://images.collegedunia.com/public/college_data/images/appImage/57191_1475215149app image.jpg,213120,[],[],clat,"['Medical', 'Classrooms', 'Comp Labs', 'Library', 'Sports', 'Security', 'Auditorium', 'Cafeteria']",4,Private,Full Time,3
"Presidency University, School of Law",Bangalore,Karnataka,['BCI'],7.02563037362892,0.958664152868371,https://images.collegedunia.com/public/college_data/images/logos/1520938617Untitled.png,https://images.collegedunia.com/public/college_data/images/appImage/1520942748146822316851.jpg,150000,[],[],clat,"['Library', 'Classrooms', 'Auditorium', 'Sports', 'Hostel', 'Cafeteria', 'Banks', 'Gym', 'Medical', 'Laboratory', 'Comp Labs', 'Security']",3,Private,Full Time,3
"SRM, Institute of Legal Studies",Lucknow,Uttar Pradesh,['BCI'],7.02563037362892,0.959642381595788,https://images.collegedunia.com/public/college_data/images/logos/147548551812.jpg,https://images.collegedunia.com/public/college_data/images/appImage/_14619316152.jpg,79000,[],[],,"['Library', 'Auditorium', 'Laboratory', 'Classrooms', 'Cafeteria', 'Medical', 'Sports', 'Wi-FI Campus']",2,Private,Full Time,3
"Manipal University, School of Law - [SOL]",Jaipur,Rajasthan,"['COA', 'BCI', 'AICTE', 'UGC']",7.02563037362892,0.960621608515783,https://images.collegedunia.com/public/college_data/images/logos/1475495871Capture.jpg,https://images.collegedunia.com/public/college_data/images/appImage/_1436611592mohitt.jpg,205800,"[{'year': '2022', 'agencyId': '33', 'rankingOfCollege': '26', 'rankingOutOfTotalNoOfCollege': '38', 'agency': 'The Week'}]","[{'year': '2022', 'agencyId': '33', 'rankingOfCollege': '26', 'rankingOutOfTotalNoOfCollege': '38', 'agency': 'The Week'}]",,"['Library', 'Comp Labs', 'Classrooms', 'Hostel', 'Cafeteria', 'Sports', 'Medical', 'Transport', 'Communication Centre']",4,Private,Full Time,3
