College Name,College City,State,Approvals,Rating,Major Stream Rating,Logo,Cover,Fees,Ranking Data,Default Ranking Data,Exam,Facilities,Fee Range,Type Of College,Program Type,Duration
Footwear Design and Development Institute - [FDDI],Kolkata,West Bengal,[],6.972772975359207,0.9131144651391444,https://images.collegedunia.com/public/college_data/images/logos/1645188703logooptionsinenglish202Copy.png,https://images.collegedunia.com/public/college_data/images/appImage/1579689904campustopimgkolkata.jpg,251900,[],[],uceed,"['Library', 'Security', 'Wi-FI Campus', 'Laboratory', 'e-classroom', 'Hostel', 'Classrooms', 'Comp Labs']",4,Government,Full Time,4
Footwear Design and Development Institute - [FDDI],Rohtak,Haryana,[],6.972772975359208,0.9143687432505996,https://images.collegedunia.com/public/college_data/images/logos/1645189075logooptionsinenglish202Copy.png,https://images.collegedunia.com/public/college_data/images/appImage/1578390961download1.jpg,184700,[],[],uceed,"['Library', 'Security', 'Wi-FI Campus', 'Laboratory', 'e-classroom', 'Comp Labs', 'Classrooms', 'Cafeteria', 'Medical']",3,Government,Full Time,4
Footwear Design and Development Institute - [FDDI],Chhindwara,Madhya Pradesh,[],6.972772975359207,0.9156247442715482,https://images.collegedunia.com/public/college_data/images/logos/1645189314logooptionsinenglish202Copy.png,https://images.collegedunia.com/public/college_data/images/appImage/1578393623download.jpg,184700,[],[],uceed,"['Library', 'Security', 'Wi-FI Campus', 'Laboratory', 'e-classroom', 'Hostel', 'Cafeteria', 'Medical']",3,Government,Full Time,4
Footwear Design and Development Institute - [FDDI],Guna,Madhya Pradesh,[],6.972772975359207,0.9168824705686244,https://images.collegedunia.com/public/college_data/images/logos/1645189444logooptionsinenglish202Copy.png,https://images.collegedunia.com/public/college_data/images/appImage/15783983895345985825a8be422986f55.04857207cmp8.jpg,184700,[],[],uceed,"['Library', 'Security', 'Wi-FI Campus', 'Laboratory', 'e-classroom', 'Hostel', 'Classrooms', 'Comp Labs']",3,Government,Full Time,4
Footwear Design and Development - [FDDI],Patna,Bihar,[],6.972772975359207,0.9181419245117132,https://images.collegedunia.com/public/college_data/images/logos/1645189611logooptionsinenglish202Copy.png,https://images.collegedunia.com/public/college_data/images/appImage/1578470128Patna.jpg,184700,[],[],uceed,"['Library', 'Security', 'Wi-FI Campus', 'Laboratory', 'e-classroom', 'Cafeteria', 'Classrooms', 'Comp Labs']",3,Government,Full Time,4
Footwear Design and Development Institute - [FDDI],Hyderabad,Telangana,[],6.972772975359207,0.9194031084739543,https://images.collegedunia.com/public/college_data/images/logos/1645189734logooptionsinenglish202Copy.png,https://images.collegedunia.com/public/college_data/images/appImage/1578475089download.jpg,232800,[],[],uceed,"['Library', 'Security', 'Wi-FI Campus', 'Laboratory', 'e-classroom']",4,Government,Full Time,4
International School of Design - [INSD],Kolkata,West Bengal,[],6.972772975359207,0.9206660248317484,https://images.collegedunia.com/public/college_data/images/logos/1610364169logo.png,https://images.collegedunia.com/public/college_data/images/appImage/161821044911.jpeg,82836,[],[],,"['Classrooms', 'Sports', 'Medical', 'Library', 'Security', 'Wi-FI Campus', 'Communication Centre']",2,Private,Full Time,4
Oxford International College,Indore,Madhya Pradesh,['BCI'],6.972772975359207,0.9219306759647592,https://images.collegedunia.com/public/college_data/images/logos/1582278590Logo.png,https://images.collegedunia.com/public/college_data/images/appImage/15822785901.jpg,60000,[],[],,"['Library', 'Comp Labs', 'Classrooms', 'Transport']",1,Private,Full Time,4
Vijaybhoomi University,Mumbai,Maharashtra,['UGC'],6.972772975359207,0.9231970642559196,https://images.collegedunia.com/public/college_data/images/logos/1644299342606680889795344522542715029292006514360320n.jpg,https://images.collegedunia.com/public/college_data/images/appImage/16448188881644299943VUArialview01.jpg,400000,[],[],,"['Wi-FI Campus', 'Classrooms', 'Medical', 'Cafeteria', 'Comp Labs', 'Hostel', 'Security']",4,Private,Full Time,4
École Intuit Lab - French Institute of Design Digital & Strategy,Kolkata,West Bengal,"['AICTE', 'UGC']",6.972772975359206,0.9244651920914356,https://images.collegedunia.com/public/college_data/images/logos/1614925858logo411.jpeg,https://images.collegedunia.com/public/college_data/images/appImage/161484199415835540351550474217J2A4493.jpg,300000,[],[],,"['Medical', 'Comp Labs', 'Cafeteria', 'Library', 'Classrooms']",4,Private,Full Time,4
Samana College of Design Studies - [SCDS],Vijayawada,Andhra Pradesh,[],6.972772975359207,0.9257350618607922,https://images.collegedunia.com/public/college_data/images/logos/1583989745scds.jpg,https://images.collegedunia.com/public/college_data/images/appImage/1583989745scds11.jpg,125000,[],[],,"['Library', 'Security', 'Wi-FI Campus', 'Classrooms', 'Medical']",3,Private,Full Time,4
Himalayan  Garhwal  University,Garhwal,Uttarakhand,['UGC'],6.972772975359207,0.9270066759567548,https://images.collegedunia.com/public/college_data/images/logos/1583990018g.jpeg,https://images.collegedunia.com/public/college_data/images/appImage/1583990018g1.jpeg,30000,[],[],,"['Library', 'Hostel', 'Classrooms', 'Laboratory', 'Comp Labs', 'Cafeteria', 'Sports']",1,Private,Full Time,4
Samana College of Design Studies - [SCDS],Hyderabad,Telangana,[],6.972772975359207,0.9282800367753766,https://images.collegedunia.com/public/college_data/images/logos/1583989745scds.jpg,https://images.collegedunia.com/public/college_data/images/appImage/1583989745scds11.jpg,125000,[],[],,"['Library', 'Security', 'Wi-FI Campus', 'Classrooms', 'Medical']",3,Private,Full Time,4
Sankalchand Patel University - [SPU],Visnagar,Gujarat,['UGC'],6.972772975359207,0.9295551467160024,https://images.collegedunia.com/public/college_data/images/logos/1584091466Logo.png,https://images.collegedunia.com/public/college_data/images/appImage/1584075224cover.jpg,50000,[],[],,"['Comp Labs', 'Sports', 'Medical', 'Cafeteria', 'Laboratory', 'Library', 'Auditorium', 'Hostel', 'Gym', 'Transport']",1,Private,Full Time,4
Bengaluru City University,Bangalore,Karnataka,['UGC'],6.972772975359207,0.9308320081812717,https://images.collegedunia.com/public/college_data/images/logos/1584422088download1.png,https://images.collegedunia.com/public/college_data/images/appImage/1584422088images3.jpg,5082,[],[],,"['Library', 'Transport', 'Communication Centre', 'Security', 'Wi-FI Campus', 'Banks', 'Laboratory']",0,Government,Full Time,4
RV University - [RVU],Bangalore,Karnataka,[],6.972772975359207,0.9321106235771248,https://images.collegedunia.com/public/college_data/images/logos/1617192369logo4.png,https://images.collegedunia.com/public/college_data/images/appImage/1621321706rvubanner1.jpg,350000,[],[],,"['Library', 'Laboratory', 'Classrooms', 'Comp Labs', 'Cafeteria', 'Communication Centre']",4,Private,Full Time,4
Design Solution Institute of Fashion Designing  - [DSIFD],Raipur,Chhattisgarh,[],6.972772975359207,0.9333909953128076,https://images.collegedunia.com/public/college_data/images/logos/1585380102DSFID.png,https://images.collegedunia.com/public/college_data/images/appImage/1585380102BUI.jpg,80000,[],[],,"['Classrooms', 'Library', 'Sports']",2,Private,Full Time,4
International Institute of Fashion Technology - [IIFT],New Delhi,Delhi NCR,[],6.972772975359207,0.9346731258008748,https://images.collegedunia.com/public/college_data/images/logos/1585811323logo.jpg,https://images.collegedunia.com/public/college_data/images/appImage/1585811239slider2.jpg,100000,[],[],,"['Comp Labs', 'Library', 'Hostel', 'Cafeteria', 'Security', 'Medical', 'Laboratory']",3,Private,Full Time,4
"Faculty of Art and Design, M. S. Ramaiah University of Applied Sciences",Bangalore,Karnataka,['AICTE'],6.972772975359207,0.9359570174571946,https://images.collegedunia.com/public/college_data/images/logos/15862374810.png,https://images.collegedunia.com/public/college_data/images/appImage/158623748114742688051469439033slider1608cc4668d50b4011fe5d4c61346c97a.jpg,198250,[],[],,"['Transport', 'Library', 'Communication Centre', 'Wi-FI Campus', 'Security', 'e-classroom', 'Gym', 'Laboratory']",3,Private,Full Time,4
MGM Institute of Fashion Design - [MGM IFD],Aurangabad,Maharashtra,[],6.972772975359206,0.9372426727009544,https://images.collegedunia.com/public/college_data/images/logos/1603442436Screenshot20201023132505.jpg,https://images.collegedunia.com/public/college_data/images/appImage/1586499457G00487071024x564.jpg,100000,[],[],,"['Classrooms', 'Laboratory', 'Comp Labs', 'Cafeteria', 'Medical']",3,Private,Full Time,4
Design Solution Institute of Fashion Design - [DSIFD],Mumbai,Maharashtra,[],6.972772975359207,0.9385300939546648,https://images.collegedunia.com/public/college_data/images/logos/15864297541536040762Logo.jpg,https://images.collegedunia.com/public/college_data/images/appImage/158686306615864299777.jpeg,200000,[],[],,"['Library', 'Classrooms', 'Security', 'Laboratory', 'Cafeteria', 'Auditorium']",4,Private,Full Time,4
