College Name,College City,State,Approvals,Rating,Major Stream Rating,Logo,Cover,Fees,Ranking Data,Default Ranking Data,Exam,Facilities,Fee Range,Type Of College,Program Type,Duration
Sovarani Memorial College - [SMC],Howrah,West Bengal,[],7.65660021632521,0.2873970654228697,https://images.collegedunia.com/public/college_data/images/logos/1488276496col4646.jpg,https://images.collegedunia.com/public/college_data/images/appImage/14882758314646SMCHAPP.jpg,3265,[],[],,"['Sports', 'Comp Labs', 'Library', 'canteen', 'Medical', 'Auditorium', 'Classrooms', 'Gym']",0,Private,Full Time,3
Spicer Memorial College - [SMC],Pune,Maharashtra,['NCTE'],7.656600216325209,0.2874590445182811,https://images.collegedunia.com/public/college_data/images/logos/1426938984jpeg.jpg,https://images.collegedunia.com/public/college_data/images/appImage/4648_SMCP_APP.jpg,37025,[],[],,"['Comp Labs', 'Cafeteria', 'Hostel']",1,Private,Full Time,3
Sree Chaitanya College,North 24 Parganas,West Bengal,[],7.65660021632521,0.2875210369798982,https://images.collegedunia.com/public/college_data/images/logos/1561528022download.jpg,https://images.collegedunia.com/public/college_data/images/appImage/14884311571446277336SREECHAITANYACNEW.jpg,4120,[],[],,"['Comp Labs', 'Library', 'canteen', 'Medical', 'Auditorium', 'Classrooms']",0,Government,Full Time,3
Sree Gopal  Banerjee College - [SGBC],Hooghly,West Bengal,['UGC'],7.65660021632521,0.2875830428106034,https://images.collegedunia.com/public/college_data/images/logos/13972065524658.JPG,https://images.collegedunia.com/public/college_data/images/appImage/4658_SREEGBC_APP.jpg,4150,[],[],,"['Comp Labs', 'Library', 'canteen', 'Medical', 'Auditorium', 'Hostel', 'Classrooms']",0,Government,Full Time,3
Sree Kerala Varma College,Thrissur,Kerala,[],7.656600216325211,0.2876450620132798,https://images.collegedunia.com/public/college_data/images/logos/1427106367jpeg.jpg,https://images.collegedunia.com/public/college_data/images/appImage/4659_SREEKVC_APP.jpg,22500,[],"[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '151', 'rankingOutOfTotalNoOfCollege': '200', 'agency': 'NIRF'}]",,"['Hostel', 'Comp Labs', 'Library', 'canteen', 'Medical']",0,Private,Full Time,3
Sree Krishna College Guruvayoor,Thrissur,Kerala,[],7.65660021632521,0.2877070945908113,https://images.collegedunia.com/public/college_data/images/logos/1455859220logo_skc.png,https://images.collegedunia.com/public/college_data/images/appImage/4661_1.jpeg,2960,[],[],,"['Library', 'Laboratory', 'Comp Labs', 'Classrooms', 'Transport', 'Sports', 'Medical', 'Auditorium', 'Cafeteria', 'canteen', 'Communication Centre']",0,Government,Full Time,3
Sree Narayana College,Kannur,Kerala,[],7.656600216325211,0.2877691405460821,https://images.collegedunia.com/public/college_data/images/logos/col4665.jpg,https://images.collegedunia.com/public/college_data/images/appImage/4665_logo.jpeg,3525,[],[],,"['Hostel', 'Transport', 'Laboratory', 'Comp Labs', 'Medical', 'Auditorium', 'Cafeteria', 'Library', 'canteen', 'Classrooms', 'Bus', 'Security']",0,Private,Full Time,3
Sree Narayana College - [SNC],Kollam,Kerala,[],7.65660021632521,0.2878311998819773,https://images.collegedunia.com/public/college_data/images/logos/15631771951162657243168455899logo.jpg,https://images.collegedunia.com/public/college_data/images/appImage/4666_SNC_APP.jpg,5055,[],"[{'year': '2020', 'agencyId': '38', 'rankingOfCollege': '6', 'rankingOutOfTotalNoOfCollege': '25', 'agency': 'ARIIA'}]",,"['Comp Labs', 'Library', 'Gym', 'canteen']",0,Private,Full Time,3
Sree Narayana College,Cherthala,Kerala,[],7.656600216325211,0.2878932726013825,https://images.collegedunia.com/public/college_data/images/logos/1456127410SNCCHERTHALALOGO.gif,https://images.collegedunia.com/public/college_data/images/appImage/4667_SNCCHER_new.jpg,2210,[],[],,"['Auditorium', 'Cafeteria', 'Comp Labs', 'Laboratory', 'Medical', 'Library', 'Sports']",0,Private,Full Time,3
Sree Narayana College Chempazhanthy,Thiruvananthapuram,Kerala,[],7.65660021632521,0.287955358707184,https://images.collegedunia.com/public/college_data/images/logos/1470805559sree logo.png,https://images.collegedunia.com/public/college_data/images/appImage/4668_sree.png,3220,[],[],,"['Comp Labs', 'Cafeteria', 'Laboratory', 'Library', 'Hostel', 'Medical', 'Sports']",0,Private,Full Time,3
Sree Narayana College for Women,Kollam,Kerala,[],7.656600216325211,0.2880174582022685,https://images.collegedunia.com/public/college_data/images/logos/1455965105SNCWlogo.png,https://images.collegedunia.com/public/college_data/images/appImage/4669_SNCW_NEW.jpg,1640,[],[],,"['Auditorium', 'Medical', 'Cafeteria', 'Sports', 'Hostel', 'Library', 'Comp Labs', 'Laboratory']",0,Private,Full Time,3
Sree Narayana Guru College Chelannur - [SNGC],Kozhikode,Kerala,[],7.65660021632521,0.2880795710895237,https://images.collegedunia.com/public/college_data/images/logos/1455970384logo.png,https://images.collegedunia.com/public/college_data/images/appImage/4671_GURU.png,2900,[],[],,"['Medical', 'Cafeteria', 'Library', 'Auditorium', 'Hostel']",0,Government,Full Time,3
Sree Narayana Guru Memorial Arts and Science College - [SNGM],Alappuzha,Kerala,['AICTE'],7.656600216325211,0.2881416973718376,https://images.collegedunia.com/public/college_data/images/logos/1470826958sn logo.png,https://images.collegedunia.com/public/college_data/images/appImage/4673_sn.png,37500,[],[],,"['Comp Labs', 'Cafeteria', 'Laboratory', 'Library', 'Hostel', 'Transport', 'Classrooms', 'Medical', 'Security']",1,Private,Full Time,3
Sree Narayana Mangalam College - [SNMC] Maliankara,Ernakulam,Kerala,['UGC'],7.65660021632521,0.2882038370520989,https://images.collegedunia.com/public/asset/img/placeholders/logo_placeholder_70X70.png,https://images.collegedunia.com/public/college_data/images/appImage/4674_sm.png,3003,[],[],,"['Comp Labs', 'Library', 'Auditorium', 'Cafeteria', 'Hostel', 'Transport']",0,Government,Full Time,3
Sree Neelakanta Government Sanskrit College Pattambi,Palakkad,Kerala,[],7.656600216325211,0.2882659901331971,https://images.collegedunia.com/public/college_data/images/logos/1427115939jpeg.jpg,https://images.collegedunia.com/public/college_data/images/appImage/4675_SNGSC_APP.jpg,0,[],[],,"['Medical', 'Library', 'Auditorium', 'Hostel']",0,Private,Full Time,3
