College Name,College City,State,Approvals,Rating,Major Stream Rating,Logo,Cover,Fees,Ranking Data,Default Ranking Data,Exam,Facilities,Fee Range,Type Of College,Program Type,Duration
G. Pulla Reddy Engineering College - [GPREC],Kurnool,Andhra Pradesh,"['AICTE', 'UGC', 'NBA']",4.460027943368909,4.0918598556847385,https://images.collegedunia.com/public/college_data/images/logos/1408946419L_408.gif,https://images.collegedunia.com/public/college_data/images/appImage/13480_GPREC_New.jpg,80000,"[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '251', 'rankingOutOfTotalNoOfCollege': '300', 'agency': 'NIRF'}, {'year': '2022', 'agencyId': '17', 'rankingOfCollege': '173', 'rankingOutOfTotalNoOfCollege': '238', 'agency': 'Indiatoday'}, {'year': '2022', 'agencyId': '33', 'rankingOfCollege': '96', 'rankingOutOfTotalNoOfCollege': '216', 'agency': 'The Week'}, {'year': '2022', 'agencyId': '14', 'rankingOfCollege': '163', 'rankingOutOfTotalNoOfCollege': '200', 'agency': 'TOI'}, {'year': '2019', 'agencyId': '28', 'rankingOfCollege': '143', 'rankingOutOfTotalNoOfCollege': '150', 'agency': 'Outlook'}]","[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '251', 'rankingOutOfTotalNoOfCollege': '300', 'agency': 'NIRF'}, {'year': '2022', 'agencyId': '17', 'rankingOfCollege': '173', 'rankingOutOfTotalNoOfCollege': '238', 'agency': 'Indiatoday'}, {'year': '2022', 'agencyId': '33', 'rankingOfCollege': '96', 'rankingOutOfTotalNoOfCollege': '216', 'agency': 'The Week'}, {'year': '2022', 'agencyId': '14', 'rankingOfCollege': '163', 'rankingOutOfTotalNoOfCollege': '200', 'agency': 'TOI'}, {'year': '2019', 'agencyId': '28', 'rankingOfCollege': '143', 'rankingOutOfTotalNoOfCollege': '150', 'agency': 'Outlook'}]",ap eapcet,"['Comp Labs', 'Sports', 'Gym', 'Medical', 'Cafeteria', 'Laboratory', 'Library', 'Auditorium', 'Hostel']",2,Private,Full Time,4
Haldia Institute of Technology - [HIT],Haldia,West Bengal,"['AICTE', 'NBA']",4.45955006035418,4.091368696299167,https://images.collegedunia.com/public/college_data/images/logos/1488782357f3.jpg,https://images.collegedunia.com/public/college_data/images/appImage/1488782357f4.jpg,117700,"[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '251', 'rankingOutOfTotalNoOfCollege': '300', 'agency': 'NIRF'}]","[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '251', 'rankingOutOfTotalNoOfCollege': '300', 'agency': 'NIRF'}]",wbjee,"['Comp Labs', 'Sports', 'Gym', 'Medical', 'Cafeteria', 'Laboratory', 'Library', 'Hostel', 'Banks']",3,Private,Full Time,4
Ramrao Adik Institute of Technology - [RAIT],Navi Mumbai,Maharashtra,['AICTE'],4.4590720460889655,4.090877419747712,https://images.collegedunia.com/public/college_data/images/logos/1459928047d-y-patil-technology.png,https://images.collegedunia.com/public/college_data/images/appImage/14751_RAIT.jpg,325000,"[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '251', 'rankingOutOfTotalNoOfCollege': '300', 'agency': 'NIRF'}, {'year': '2021', 'agencyId': '17', 'rankingOfCollege': '85', 'rankingOutOfTotalNoOfCollege': '218', 'agency': 'Indiatoday'}, {'year': '2020', 'agencyId': '33', 'rankingOfCollege': '72', 'rankingOutOfTotalNoOfCollege': '160', 'agency': 'The Week'}, {'year': '2019', 'agencyId': '14', 'rankingOfCollege': '11', 'rankingOutOfTotalNoOfCollege': '147', 'agency': 'TOI'}]","[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '251', 'rankingOutOfTotalNoOfCollege': '300', 'agency': 'NIRF'}, {'year': '2021', 'agencyId': '17', 'rankingOfCollege': '85', 'rankingOutOfTotalNoOfCollege': '218', 'agency': 'Indiatoday'}, {'year': '2020', 'agencyId': '33', 'rankingOfCollege': '72', 'rankingOutOfTotalNoOfCollege': '160', 'agency': 'The Week'}, {'year': '2019', 'agencyId': '14', 'rankingOfCollege': '11', 'rankingOutOfTotalNoOfCollege': '147', 'agency': 'TOI'}]",jee main,"['Comp Labs', 'Sports', 'Gym', 'Medical', 'Cafeteria', 'Laboratory', 'Library', 'Auditorium', 'Hostel', 'Classrooms']",4,Private,Full Time,4
Sri Venkateswara College of Engineering and Technology - [SVCET],Chittoor,Andhra Pradesh,"['AICTE', 'NBA']",4.458593900537218,4.090386026002423,https://images.collegedunia.com/public/college_data/images/logos/1584684284logo.jpg,https://images.collegedunia.com/public/college_data/images/appImage/15286_sri1.jpg,48000,"[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '198', 'rankingOutOfTotalNoOfCollege': '300', 'agency': 'NIRF'}, {'year': '2022', 'agencyId': '33', 'rankingOfCollege': '193', 'rankingOutOfTotalNoOfCollege': '216', 'agency': 'The Week'}]","[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '198', 'rankingOutOfTotalNoOfCollege': '300', 'agency': 'NIRF'}, {'year': '2022', 'agencyId': '33', 'rankingOfCollege': '193', 'rankingOutOfTotalNoOfCollege': '216', 'agency': 'The Week'}]",ap eapcet,"['Comp Labs', 'Sports', 'Gym', 'Medical', 'Cafeteria', 'Laboratory', 'Library', 'Auditorium', 'Hostel']",1,Private,Full Time,4
The National Institute of Engineering - [NIE],Mysore,Karnataka,"['AICTE', 'UGC']",4.458115623662881,4.089894515035343,https://images.collegedunia.com/public/college_data/images/logos/col27917.jpg,https://images.collegedunia.com/public/college_data/images/appImage/15466_NIE_New.jpg,44090,"[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '201', 'rankingOutOfTotalNoOfCollege': '300', 'agency': 'NIRF'}, {'year': '2022', 'agencyId': '17', 'rankingOfCollege': '14', 'rankingOutOfTotalNoOfCollege': '238', 'agency': 'Indiatoday'}, {'year': '2022', 'agencyId': '33', 'rankingOfCollege': '41', 'rankingOutOfTotalNoOfCollege': '216', 'agency': 'The Week'}, {'year': '2020', 'agencyId': '28', 'rankingOfCollege': '39', 'rankingOutOfTotalNoOfCollege': '110', 'agency': 'Outlook'}, {'year': '2019', 'agencyId': '14', 'rankingOfCollege': '18', 'rankingOutOfTotalNoOfCollege': '147', 'agency': 'TOI'}]","[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '201', 'rankingOutOfTotalNoOfCollege': '300', 'agency': 'NIRF'}, {'year': '2022', 'agencyId': '17', 'rankingOfCollege': '14', 'rankingOutOfTotalNoOfCollege': '238', 'agency': 'Indiatoday'}, {'year': '2022', 'agencyId': '33', 'rankingOfCollege': '41', 'rankingOutOfTotalNoOfCollege': '216', 'agency': 'The Week'}, {'year': '2020', 'agencyId': '28', 'rankingOfCollege': '39', 'rankingOutOfTotalNoOfCollege': '110', 'agency': 'Outlook'}, {'year': '2019', 'agencyId': '14', 'rankingOfCollege': '18', 'rankingOutOfTotalNoOfCollege': '147', 'agency': 'TOI'}]",comedk uget,"['Comp Labs', 'Sports', 'Gym', 'Medical', 'Cafeteria', 'Laboratory', 'Library', 'Auditorium', 'Hostel']",1,Private,Full Time,4
North Eastern Regional Institute of Science and Technology - [NERIST],Itanagar,Arunachal Pradesh,"['AICTE', 'UGC']",4.457637215429885,4.089402886818509,https://images.collegedunia.com/public/college_data/images/logos/col29642.png,https://images.collegedunia.com/public/college_data/images/appImage/25388_5.jpg,12460,"[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '201', 'rankingOutOfTotalNoOfCollege': '300', 'agency': 'NIRF'}, {'year': '2022', 'agencyId': '17', 'rankingOfCollege': '167', 'rankingOutOfTotalNoOfCollege': '238', 'agency': 'Indiatoday'}]","[{'year': '2020', 'agencyId': '13', 'rankingOfCollege': '151', 'rankingOutOfTotalNoOfCollege': '200', 'agency': 'NIRF'}]",nerist entrance exam,"['Comp Labs', 'Sports', 'Cafeteria', 'Laboratory', 'Library', 'Auditorium', 'Gym', 'Hostel', 'e-classroom', 'Classrooms', 'Medical']",0,Private,Full Time,4
Velagapudi Ramakrishna Siddhartha Engineering College - [VRSEC],Vijayawada,Andhra Pradesh,"['AICTE', 'NBA']",4.4571586758021535,4.088911141323953,https://images.collegedunia.com/public/college_data/images/logos/14800546963.jpg,https://images.collegedunia.com/public/college_data/images/appImage/1515406387cvrimagenew1.png,71050,"[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '141', 'rankingOutOfTotalNoOfCollege': '300', 'agency': 'NIRF'}, {'year': '2022', 'agencyId': '17', 'rankingOfCollege': '115', 'rankingOutOfTotalNoOfCollege': '238', 'agency': 'Indiatoday'}, {'year': '2019', 'agencyId': '14', 'rankingOfCollege': '42', 'rankingOutOfTotalNoOfCollege': '147', 'agency': 'TOI'}]","[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '151', 'rankingOutOfTotalNoOfCollege': '200', 'agency': 'NIRF'}, {'year': '2020', 'agencyId': '38', 'rankingOfCollege': '6', 'rankingOutOfTotalNoOfCollege': '50', 'agency': 'ARIIA'}]",ap eapcet,"['Comp Labs', 'Sports', 'Gym', 'Medical', 'Cafeteria', 'Laboratory', 'Library', 'Auditorium', 'Hostel', 'Classrooms', 'Transport']",1,Private,Full Time,4
Sardar Patel College of Engineering - [SPCE],Mumbai,Maharashtra,"['AICTE', 'UGC', 'NBA']",4.456680004743599,4.088419278523697,https://images.collegedunia.com/public/college_data/images/logos/1564745112images.jpeg,https://images.collegedunia.com/public/college_data/images/appImage/14946_1443869268SPCE_New.jpg,170000,"[{'year': '2021', 'agencyId': '13', 'rankingOfCollege': '251', 'rankingOutOfTotalNoOfCollege': '300', 'agency': 'NIRF'}]","[{'year': '2021', 'agencyId': '13', 'rankingOfCollege': '251', 'rankingOutOfTotalNoOfCollege': '300', 'agency': 'NIRF'}]",jee main,"['Comp Labs', 'Sports', 'Gym', 'Medical', 'Cafeteria', 'Laboratory', 'Library', 'Auditorium', 'Hostel', 'Classrooms']",3,Government,Full Time,4
Dr. Mahalingam College of Engineering & Technology - [MCET],Pollachi,Tamil Nadu,"['AICTE', 'NBA']",4.45622866720027,4.087929707740901,https://images.collegedunia.com/public/college_data/images/logos/139470800113393.JPG,https://images.collegedunia.com/public/college_data/images/appImage/13393_MCET_APP.jpg,50000,"[{'year': '2020', 'agencyId': '13', 'rankingOfCollege': '251', 'rankingOutOfTotalNoOfCollege': '300', 'agency': 'NIRF'}, {'year': '2020', 'agencyId': '33', 'rankingOfCollege': '122', 'rankingOutOfTotalNoOfCollege': '160', 'agency': 'The Week'}, {'year': '2019', 'agencyId': '28', 'rankingOfCollege': '99', 'rankingOutOfTotalNoOfCollege': '150', 'agency': 'Outlook'}]","[{'year': '2020', 'agencyId': '38', 'rankingOfCollege': '26', 'rankingOutOfTotalNoOfCollege': '50', 'agency': 'ARIIA'}]",tnea,"['Comp Labs', 'Sports', 'Cafeteria', 'Laboratory', 'Library', 'Hostel', 'Auditorium']",1,Private,Full Time,4
Gokaraju Rangaraju Institute of Engineering and Technology [GRIET],Hyderabad,Telangana,"['AICTE', 'NBA']",4.455777205697168,4.087442405667367,https://images.collegedunia.com/public/college_data/images/logos/1481803864col28052.jpg,https://images.collegedunia.com/public/college_data/images/appImage/1658722991index.jpg,140000,"[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '148', 'rankingOutOfTotalNoOfCollege': '300', 'agency': 'NIRF'}, {'year': '2022', 'agencyId': '17', 'rankingOfCollege': '130', 'rankingOutOfTotalNoOfCollege': '238', 'agency': 'Indiatoday'}, {'year': '2022', 'agencyId': '28', 'rankingOfCollege': '57', 'rankingOutOfTotalNoOfCollege': '100', 'agency': 'Outlook'}, {'year': '2022', 'agencyId': '33', 'rankingOfCollege': '65', 'rankingOutOfTotalNoOfCollege': '216', 'agency': 'The Week'}, {'year': '2022', 'agencyId': '14', 'rankingOfCollege': '25', 'rankingOutOfTotalNoOfCollege': '200', 'agency': 'TOI'}]","[{'year': '2020', 'agencyId': '38', 'rankingOfCollege': '6', 'rankingOutOfTotalNoOfCollege': '50', 'agency': 'ARIIA'}]",ts eamcet,"['Comp Labs', 'Sports', 'Gym', 'Medical', 'Cafeteria', 'Laboratory', 'Library', 'Auditorium', 'Hostel']",3,Private,Full Time,4
