College Name,College City,State,Approvals,Rating,Major Stream Rating,Logo,Cover,Fees,Ranking Data,Default Ranking Data,Exam,Facilities,Fee Range,Type Of College,Program Type,Duration
Vinayaka Missions Medical College and Hospital - [VMMCH],Karaikal,Puducherry,"['MCI', 'UGC']",7.662213218283048,0.4414996134245976,https://images.collegedunia.com/public/college_data/images/logos/1507359281Logo.jpg,https://images.collegedunia.com/public/college_data/images/appImage/1507359281AppNew.jpg,1868550,[],[],neet,"['Classrooms', 'Library', 'Cafeteria', 'Hostel', 'Security', 'Transport', 'Sports', 'Comp Labs', 'Laboratory', 'Gym', 'Auditorium', 'Medical']",4,Private,Full Time,5
Vinayaka Missions Kirupananda Variyar Medical College - [VMKVMC],Salem,Tamil Nadu,['MCI'],7.662213218283048,0.4422233832826707,https://images.collegedunia.com/public/college_data/images/logos/1507371762Logo.jpg,https://images.collegedunia.com/public/college_data/images/appImage/1507371762AppNew.jpg,2058550,[],[],neet,"['Auditorium', 'Sports', 'Medical', 'Library', 'Laboratory', 'Comp Labs', 'Security', 'Hostel', 'Transport', 'Gym', 'Cafeteria']",4,Private,Full Time,5
Kannur Medical College - [KMC] Anjarakandy,Kannur,Kerala,['MCI'],7.662213218283048,0.4429483396487079,https://images.collegedunia.com/public/college_data/images/logos/1508761271Logo.jpg,https://images.collegedunia.com/public/college_data/images/appImage/1508761443AppNew.jpg,28250,[],[],neet,"['Classrooms', 'Library', 'Comp Labs', 'Laboratory', 'Medical', 'Cafeteria', 'Sports', 'Security', 'Auditorium']",1,Private,Full Time,5
Sri Guru Ram Das Institute of Medical Sciences & Research - [SGRDIMSR],Amritsar,Punjab,['MCI'],7.662213218283048,0.4436744844678041,https://images.collegedunia.com/public/college_data/images/logos/1513251647Logo.jpg,https://images.collegedunia.com/public/college_data/images/appImage/1513251647AppNew.jpg,759000,"[{'year': '2022', 'agencyId': '17', 'rankingOfCollege': '49', 'rankingOutOfTotalNoOfCollege': '53', 'agency': 'Indiatoday'}]","[{'year': '2022', 'agencyId': '17', 'rankingOfCollege': '49', 'rankingOutOfTotalNoOfCollege': '53', 'agency': 'Indiatoday'}]",,"['Classrooms', 'Laboratory', 'Comp Labs', 'Library', 'Cafeteria', 'Auditorium', 'Security', 'Sports', 'Medical']",4,Private,Full Time,5
Andhra Medical College,Visakhapatnam,Andhra Pradesh,['MCI'],7.662213218283048,0.4444018196882431,https://images.collegedunia.com/public/college_data/images/logos/1513256989Logo.jpg,https://images.collegedunia.com/public/college_data/images/appImage/1513256989AppNew.jpg,25550,[],[],neet,"['Classrooms', 'Medical', 'Library', 'Laboratory', 'Comp Labs', 'Sports', 'Auditorium', 'Cafeteria', 'Security', 'Gym']",1,Private,Full Time,5
Al-Ameen Medical College,Bijapur,Karnataka,['MCI'],7.662213218283048,0.4451303472615026,https://images.collegedunia.com/public/college_data/images/logos/1513331388Logo.jpg,https://images.collegedunia.com/public/college_data/images/appImage/1513331388AppNew.jpg,994406,[],[],neet,"['Classrooms', 'Library', 'Laboratory', 'Comp Labs', 'Cafeteria', 'Medical', 'Sports', 'Auditorium', 'Security', 'Hostel', 'Banks', 'Transport', 'Gym', 'Communication Centre']",4,Private,Full Time,5
Uttar Pradesh University of Medical Sciences - [UPUMS],Etawah,Uttar Pradesh,['MCI'],7.662213218283048,0.4458600691422591,https://images.collegedunia.com/public/college_data/images/logos/1521183977edtlogo.gif,https://images.collegedunia.com/public/college_data/images/appImage/1521183977cvrmge.png,36000,[],[],neet,"['Medical', 'Sports', 'Comp Labs', 'Laboratory', 'Library', 'Auditorium', 'Cafeteria', 'Classrooms', 'Transport', 'Hostel']",1,Private,Full Time,5
Apollo Institute of Medical Science & Research - [AIMSR],Hyderabad,Telangana,['MCI'],7.662213218283048,0.4465909872883941,https://images.collegedunia.com/public/college_data/images/logos/1535112059apollologo1.jpg,https://images.collegedunia.com/public/college_data/images/appImage/1535112245apollocoverimage2.jpg,60000,[],[],neet,"['Library', 'Hostel', 'Sports', 'Gym', 'Cafeteria']",1,Private,Full Time,5
Rajiv Gandhi Medical College - [RGMC],Thane,Maharashtra,['MCI'],7.662213218283047,0.4473231036609979,https://images.collegedunia.com/public/college_data/images/logos/154140035213758312294584339132351772823741n.jpg,https://images.collegedunia.com/public/college_data/images/appImage/1541400352101507462294632672460851690069422n.jpg,102880,[],[],neet,"['Hostel', 'e-classroom', 'Laboratory', 'Library', 'Auditorium']",3,Private,Full Time,5
ACSR Government Medical College,Nellore,Andhra Pradesh,['MCI'],7.662213218283048,0.4480564202243766,https://images.collegedunia.com/public/college_data/images/logos/1541485051Capture.jpg,https://images.collegedunia.com/public/college_data/images/appImage/1541484993ban02.jpg,21276,[],[],neet,[],0,Private,Full Time,5
